band	artist_id	country
'E Zezi	975509	Italy
1782	6946416	Italy
2 Minuta Dreka	434854	Italy
24 Grana	1025541	Italy
291out	3239107	Italy
3/4HadBeenEliminated	554116	Italy
49ers	34155	Italy
8 Mix	88916	Italy
883	137933	Italy
99 Posse	389919	Italy
999999999	3693507	Italy
:Of The Wand & The Moon:	39343	Denmark
A Short Apnea	170103	Italy
A Toys Orchestra	859438	Italy
A.T.R.O.X.	680430	Italy
Aage Juhl Thomsens Orkester	2982922	Denmark
Aage Thygesen	4468095	Denmark
Aase Ziegler	3736536	Denmark
Abhor	417464	Italy
Aborym	263902	Italy
Above the Tree	1766082	Italy
Abysmal Grief	760924	Italy
Accademia	1107052	Italy
Accordo dei Contrari	1546377	Italy
Ache	758954	Denmark
Achille Lauro	3781613	Italy
Achille Millo	1615158	Italy
Achille Togliani	917508	Italy
Acirne	1067157	Italy
Acqua Fragile	1136505	Italy
Ad Nauseam	4349144	Italy
Ada Montellanico	2292319	Italy
Ada Neri	1051279	Italy
Adel Valentine	2008212	Italy
Adramelch	1605129	Italy
Adriana Martino	1024685	Italy
Adriano Celentano	36543	Italy
Adriano Dodici	441786	Italy
Adriano Pappalardo	967476	Italy
Adriano Valle	1895424	Italy
Adversam	773372	Italy
Aeroplanitaliani	191844	Italy
Aeternal Seprium	5046038	Italy
Africa Unite	214561	Italy
Afsky	4776179	Denmark
Afterhours	344890	Italy
Agazzi	2061896	Italy
Aglaia	319339	Italy
Agnes Obel	1679804	Denmark
Ago	162108	Italy
Agorà	1722084	Italy
Agostino Carollo	232050	Italy
Agricantus	97259	Italy
Ain Soph	72994	Italy
Aksel Schiøtz	1287454	Denmark
Aktuala	1775431	Italy
Al Bano	602861	Italy
Al Bano & Romina	303666	Italy
Al Castellana	774746	Italy
Al Doum & The Faryds	2484267	Italy
Al Korvin	889770	Italy
Alan Barry	19789	Italy
Alan Sorrenti	208751	Italy
Alba Parietti	160008	Italy
Albatros	439912	Italy
Albert Høeberg	15453609	Denmark
Albert One	6692	Italy
Alberte	462449	Denmark
Alberto Baldan Bembo	10860	Italy
Alberto Bertoli	4321464	Italy
Alberto Boccardi	2668394	Italy
Alberto Camerini	145643	Italy
Alberto Cheli	1022419	Italy
Alberto Erede	833626	Italy
Alberto Fortis	639720	Italy
Alberto Fracasso	978260	Italy
Alberto Rabagliati	921305	Italy
Alberto Radius	342427	Italy
Alborosie	525093	Italy
Aldo Alvi	1338664	Italy
Aldo Donà	926915	Italy
Aldo Zunino	695580	Italy
Aleandro Baldi	771725	Italy
Aleph	23510	Italy
Alessandra Amoroso	1579899	Italy
Alessandra Novaga	4436754	Italy
Alessandro Bono	1537601	Italy
Alessandro Casillo	2086762	Italy
Alessandro Fain	40898	Italy
Alessandro Farace	1384	Italy
Alessandro Fiori	1079930	Italy
Alessandro Mannarino	1645255	Italy
Alessandro Monti	792920	Italy
Alessandro Picone	653448	Italy
Alessandro Safina	166481	Italy
Alessandro Tognetti	146183	Italy
Alessandro Ziliani	1342534	Italy
Alessio Mereu	814517	Italy
Alex Baroni	253491	Italy
Alex Britti	653853	Italy
Alex D'Elia	95919	Italy
Alex Gaudino	45912	Italy
Alex Gori	1484528	Italy
Alex Neri	16483	Italy
Alex Party	7282	Italy
Alex Puddu	527548	Italy
Alexander Robotnick	15975	Italy
Alexia	43736	Italy
Alfio Antico	389098	Italy
Alfredo Clerici	921314	Italy
Alice	345919	Italy
Alida Chelli	618714	Italy
Alien Force	2088553	Denmark
Alio Die	45771	Italy
Alkemy	33905	Italy
Alkoholizer	2587760	Italy
Allan Olsen	316074	Denmark
Alltheniko	1369687	Italy
Almamegretta	64628	Italy
Alphataurus	1157743	Italy
Alrune Rod	874331	Denmark
Altar of Perversion	263174	Italy
Alter Ego	296125	Italy
Altro	1450204	Italy
Alunni del Sole	827219	Italy
Alusa Fallax	1401721	Italy
Alvaro Amici	1046329	Italy
Amalia Grè	758377	Italy
Ambra Angiolini	331346	Italy
Ambrogio Sparagna	800664	Italy
Amdi Petersen Armé	937840	Denmark
Amedeo Minghi	490247	Italy
Amedeo Tommasi	368085	Italy
Amelita Galli-Curci	883266	Italy
Amir Issaa	1700857	Italy
Amnesia	431537	Italy
Amnesys	244031	Italy
Amor Fou	1930767	Italy
Amycanbe	779992	Italy
Ancient Bards	2509686	Italy
Ancient Dome	2127028	Italy
Andrea Appino	1449554	Italy
Andrea Bocelli	318300	Italy
Andrea Chimenti	798540	Italy
Andrea Doria	40130	Italy
Andrea Ferlin	497722	Italy
Andrea Laszlo De Simone	5889157	Italy
Andrea Lombardini	2471633	Italy
Andrea Mingardi	398973	Italy
Andrea Mingardi Supercircus	2015090	Italy
Andrea Mirò	1805905	Italy
Andrea Nardinocchi	2612827	Italy
Andrea Parodi	1266413	Italy
Andrea Roma	996640	Italy
Andreas Odbjerg	5263640	Denmark
Andy Bono	1331280	Italy
Angel Death	1935167	Italy
Angela Baraldi	806786	Italy
Angela Denia	3189304	Italy
Angela Luce	1629390	Italy
Angelo Bada	883265	Italy
Angelo Baroncini	531283	Italy
Angelo Branduardi	199024	Italy
Angelo Cavallaro	3794796	Italy
Angelo Francesco Lavagnino	651438	Italy
Angelo Rossi	4824924	Italy
Angelo Servida	1282867	Italy
Angels of Darkness	20648	Italy
Anguana	6386072	Italy
AniMe	1373555	Italy
Anima Lunae	821327	Italy
Anker Skjoldborgs Danseorkester	3442958	Denmark
Ankerstjerne	2627197	Denmark
Anna Identici	1031910	Italy
Anna Marchetti	2072505	Italy
Anna Oxa	297663	Italy
Anna Tatangelo	909769	Italy
Annalisa	3176593	Italy
Annalisa Minetti	1925467	Italy
Annarita Spinaci	2068516	Italy
Anne Dorte Michelsen	562336	Denmark
Anne Linnet	257747	Denmark
Anne Linnet Band	1252133	Denmark
Annette Bjergfeldt	1859909	Denmark
Annie Barbazza	4759127	Italy
Anthony's Games	176145	Italy
Anti You	1625822	Italy
Anticappella	28421	Italy
Antico	44153	Italy
Antisgammo	1215669	Italy
Antonella Ruggiero	237325	Italy
Antonello Rondi	2117751	Italy
Antonello Venditti	380858	Italy
Antonietta Laterza	1070510	Italy
Antonio & Marcello	1602494	Italy
Antonio Ballista	589703	Italy
Antonio Basurto	1166520	Italy
Antonio Iglio	1621117	Italy
Antonio Infantino	275793	Italy
Antonio Maggio	3307862	Italy
Antonio Scotti	1341436	Italy
Antonio Sorrentino	2501089	Italy
Antonio Testa	217848	Italy
Antonio Vasquez	1456443	Italy
Antonius Rex	332069	Italy
Antropofagus	478911	Italy
Anuseye	2044071	Italy
Any Other	4631623	Italy
Après La Classe	2365367	Italy
Aqua	38862	Denmark
Ardecore	1185514	Italy
Area	313917	Italy
Area II	2597396	Italy
Aretuska	381110	Italy
Argine	132370	Italy
Arianna Antinori	5713732	Italy
Ariete	8729557	Italy
Ariodante Dalla	3658917	Italy
Arisa	2752896	Italy
Arkè String Quartet	1128242	Italy
Armageddon Project	20654	Italy
Armando De Razza	1036618	Italy
Armando Gentilucci	2122553	Italy
Armando Savini	1967842	Italy
Armando Sciascia	261011	Italy
Armonite	3659924	Italy
Armonium	383180	Italy
Arpioni	1500699	Italy
Arrigt Antræk	596302	Denmark
Art of Fighters	20215	Italy
Arthemis	1908715	Italy
Arti & Mestieri	1030927	Italy
Articolo 31	232886	Italy
